Country name,Happiness,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Afghanistan,1.445908546,0,0.368478119,55.20000076,0.228301197,0,0.738470912
Albania,5.444690704,9.688706398,0.690752625,69.19999695,0.871545494,0.067885302,0.85542506
Argentina,6.393228531,9.993596077,0.8921175,67.30000305,0.831683755,-0.129060909,0.846093535
Armenia,5.679090023,9.729613304,0.819337785,68.19999695,0.81937629,-0.179444075,0.680708945
Australia,7.024582386,10.84643364,0.896460056,71.19999695,0.875768781,0.187309042,0.481580466
Austria,6.635663986,10.93041229,0.874427319,71.40000153,0.8740834,0.209268272,0.529429734
Azerbaijan,5.213894844,9.636955261,0.71347785,64.09999847,0.828686178,-0.160170138,0.626640737
Bahrain,5.959068298,10.87685776,0.817477226,65.59999847,0.868560851,0.154635057,0
Bangladesh,4.113548756,8.782783508,0.449802071,64.80000305,0.919209421,0.018997489,0.755618155
Belgium,6.943598747,10.88318443,0.895955026,71.19999695,0.870200217,0.064940251,0.521571338
Benin,4.419834137,8.173913002,0.398187995,56.70000076,0.785600841,-0.07259462,0.575304806
Bolivia,5.859886169,9.024975777,0.786039412,63.90000153,0.831521213,-0.058520824,0.876588285
Bosnia and Herzegovina,6.008581161,9.759161949,0.878786922,67.40000153,0.847237289,0.240803793,0.947699368
Botswana,3.331647873,9.673301697,0.701358497,55,0.74122411,-0.264173627,0.813935578
Brazil,6.552690983,9.634684563,0.856452703,66.09999847,0.869661331,-0.036035303,0.73284924
Bulgaria,5.589599133,10.27278996,0.934916198,66.69999695,0.754324257,-0.131297529,0.947856188
Burkina Faso,4.462207794,7.692993641,0.580303073,56.40000153,0.715367317,0.104911596,0.649692655
Cambodia,4.221345425,8.461865425,0.73761338,62.29999924,0.960692763,0.069959581,0.799151599
Cameroon,4.945847034,8.237628937,0.715873539,57.20000076,0.739136577,-0.02758339,0.855074942
Canada,6.841206551,10.79428005,0.902472913,71.5,0.847096443,0.196032763,0.467925131
Chad,4.544095516,7.253596783,0.608547866,53.5,0.586063147,0.13805455,0.755027592
Chile,6.229820251,10.15490532,0.874380529,70.59999847,0.814988375,-0.026870742,0.835945129
China,6.144763947,9.860808372,0.796982527,69,0.793378353,-0.03157096,0
Colombia,5.904404163,9.666558266,0.833208442,69.69999695,0.823471069,-0.142464593,0.870226681
Comoros,3.588056326,8.094624519,0.482587487,59.59999847,0.45221135,0.004197449,0.704126537
Congo (Brazzaville),4.95372963,8.086013794,0.560727715,57.5,0.702421248,-0.050732214,0.74504441
Congo (Kinshasa),3.383397579,7.075861931,0.572274745,55.79999924,0.687303185,0.152351975,0.8372733
Costa Rica,7.384068966,10.02089691,0.874572039,70,0.933381498,-0.066685498,0.766937912
Croatia,5.958378792,10.46168423,0.908594966,69.30000305,0.573221087,-0.205369905,0.810467243
Cyprus,6.070594311,0,0.802831233,73.19999695,0.729809582,0,0.839832366
Czechia,6.82700634,10.63861752,0.926695585,69.30000305,0.906065404,0.025248012,0.831690669
Denmark,7.504192829,10.99629307,0.91566956,71.5,0.922739089,0.089433536,0.183566779
Dominican Republic,5.921262264,9.900377274,0.860253692,64.80000305,0.866731405,-0.106743857,0.667494833
Ecuador,5.851753712,9.307243347,0.782300949,69.5,0.730733454,-0.106206864,0.839505136
Egypt,3.880640268,9.479594231,0.729670882,64,0.62534076,-0.21025224,0
El Salvador,6.481846809,9.167494774,0.743965209,66.30000305,0.942021489,-0.103750244,0.495585293
Estonia,6.42987299,10.51672173,0.958171248,70.09999847,0.914573312,0.03150104,0.333730578
Ethiopia,4.092648506,7.809025288,0.670349836,61.5,0.631146789,0.211843997,0.800479531
Finland,7.69892931,10.8084507,0.946864665,71.30000305,0.943417847,-0.00112968,0.185229436
France,6.556921482,10.74176884,0.84957093,72.5,0.77552408,0.009542724,0.557787776
Gabon,5.104125023,9.553695679,0.734570622,58.90000153,0.722349942,-0.159617275,0.821529746
Gambia,4.690763474,7.686476707,0.651343822,58.20000076,0.726548493,0.430171221,0.852272391
Georgia,5.350635052,9.785037041,0.779039383,65.19999695,0.876941442,-0.2682105,0.705884159
Germany,6.792490482,10.87786484,0.894832492,71.69999695,0.84473753,0.106207937,0.460183352
Ghana,4.298451424,8.609566689,0.661466599,59.5,0.834113598,0.093152903,0.892141581
Greece,5.796062946,10.38662243,0.818430841,71.40000153,0.589122653,-0.222803697,0.805382431
Guatemala,6.421293736,9.140171051,0.79619348,63.09999847,0.873079836,-0.04905026,0.812035024
Guinea,4.827179909,7.931992054,0.576948881,55.09999847,0.743183076,0.186741203,0.790581107
Honduras,5.860568047,8.66959095,0.731275856,64.69999695,0.878161669,0.078597203,0.783737063
Hungary,5.965178013,10.47270775,0.954226375,67.80000305,0.754715323,-0.002145068,0.847480953
Iceland,7.561609268,10.93416691,0.978788912,72.09999847,0.918376803,0.299156994,0.697474718
India,4.676008701,8.919470787,0.632896602,61.5,0.899601042,0.120886922,0.769851804
Indonesia,5.694869518,9.465581894,0.78054446,63.29999924,0.900427938,0.589554369,0.866237402
Iran,5.004280567,9.650888443,0.809478879,66.90000153,0.615400136,0.253602982,0.764253139
Iraq,5.475371838,9.09318161,0.734168351,64.59999847,0.658408582,-0.017449111,0.851072788
Ireland,6.816531181,11.67558765,0.921253502,71.5,0.902766407,0.182177886,0.373317093
Israel,6.783402443,10.70726871,0.951891184,73,0.797024131,0.146183684,0.635508955
Italy,6.245111942,10.70287514,0.851000845,72.19999695,0.698561907,-0.052536126,0.81901288
Ivory Coast,5.336585522,8.655770302,0.62278688,57.09999847,0.753174961,-0.057453293,0.675910711
Japan,5.910115719,10.65378666,0.842273355,74.59999847,0.776991785,-0.221992657,0.593600094
Jordan,4.292033195,9.151368141,0.720771194,67.59999847,0.7544204,-0.143365949,0.651288033
Kazakhstan,6.299432755,10.17174911,0.929064274,66.59999847,0.900705278,0.049508102,0.812061489
Kenya,4.496229172,8.52347374,0.702744722,59.29999924,0.735895038,0.316245854,0.799799323
Kosovo,6.877792835,9.480271339,0.80721277,0,0.899681032,0.285178244,0.81093204
